recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
2593582207360570527;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО ГОРОДУ МАЙКОПУ;01;010-001;79701000;;MVDR23_DEPARTMENTS_2593582207360570527
2593584908794336887;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО НИЖНЕГОРСКОМУ РАЙОНУ;91;910-022;35631000;;MVDR23_DEPARTMENTS_2593584908794336887
2593588056200058459;ОТДЕЛ АДРЕСНО-СПРАВОЧНОЙ РАБОТЫ УВМ МВД ПО РЕСПУБЛИКЕ БАШКОРТОСТАН МВД РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН;02;020-001;;;MVDR23_DEPARTMENTS_2593588056200058459
2593588477308179521;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ МВД РОССИИ ПО ОНГУДАЙСКОМУ РАЙОНУ;04;040-007;84620445;;MVDR23_DEPARTMENTS_2593588477308179521
2593582406111860033;"МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ МО МВД РОССИИ ""РЯЖСКИЙ"" УМВД РОССИИ ПО РЯЗАНСКОЙ ОБЛАСТИ";62;620-011;61620000;;MVDR23_DEPARTMENTS_2593582406111860033
2593582648408413724;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО ГОРОДУ ПЕЧОРЕ МВД ПО РЕСПУБЛИКЕ КОМИ;11;110-005;87620101;;MVDR23_DEPARTMENTS_2593582648408413724
2593584356387722340;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ПО Г. ШАХУНЬЯ;52;520-054;22758000;;MVDR23_DEPARTMENTS_2593584356387722340
2593582067614749713;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""УДОМЕЛЬСКИЙ""";69;690-036;28751000;;MVDR23_DEPARTMENTS_2593582067614749713
2593587788326638877;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД ПО РЕСПУБЛИКЕ МАРИЙ ЭЛ МВД РОССИИ ПО РЕСПУБЛИКЕ МАРИЙ ЭЛ;12;120-000;88701000;;MVDR23_DEPARTMENTS_2593587788326638877
2593586991593428260;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ПО ОРЛОВСКОЙ ОБЛАСТИ;57;570-022;54701000;;MVDR23_DEPARTMENTS_2593586991593428260
2593584544686806310;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ № 17 (ДИСЛОКАЦИЯ ПГТ КИРОВСКИЙ) МО МВД РОССИИ «ЛЕСОЗАВОДСКИЙ»;25;250-029;05612151;;MVDR23_DEPARTMENTS_2593584544686806310
2593584467763270868;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОП № 3 МУ МВД РОССИИ ""ОРЕНБУРГСКОЕ""";56;560-003;53701000;;MVDR23_DEPARTMENTS_2593584467763270868
2593584035615741730;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО АПШЕРОНСКОМУ РАЙОНУ;23;230-028;03605000;;MVDR23_DEPARTMENTS_2593584035615741730
