id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
13904;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 3 ЗАРЕЧЕНСКИЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-004;140341;;160-004
13905;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 11 ВОСХОД УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-005;140342;;160-005
13906;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 7 ГАГАРИНСКИЙ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-006;140343;;160-006
13907;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 15 ТАНКОДРОМ УМВД РОССИИ ПО Г КАЗАНИ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-007;140344;;160-007
13909;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 1 АВТОЗАВОДСКИЙ УМВД РОССИИ ПО Г НАБЕРЕЖНЫЕ ЧЕЛНЫ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-009;140346;;160-009
13910;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 2 КОМСОМОЛЬСКИЙ УМВД РОССИИ ПО Г НАБЕРЕЖНЫЕ ЧЕЛНЫ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-010;140347;;160-010
13911;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ 3 ЦЕНТРАЛЬНЫЙ УМВД РОССИИ ПО Г НАБЕРЕЖНЫЕ ЧЕЛНЫ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-011;140348;;160-011
13912;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО ТУКАЕВСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-012;140349;;160-012
13913;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ПО НИЖНЕКАМСКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-013;140350;;160-013
13914;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛА ПОЛИЦИИ КАМСКОПОЛЯНСКИЙ УМВД РОССИИ ПО НИЖНЕКАСМКОМУ РАЙОНУ МВД РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН;;160-014;140351;;160-014
